index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,project,date
Starling-Framework,3391.9116015724503,96.64203338953244,24312.951046004226,1028.280522278896,3088.2238630510606,12168.23324753288,290.3153133805492,1593.3188651321675,0.10002650986345606,1380.0234811252049,Starling,2016-01
Theano,0.1000268149313851,0.5229773527601717,0.7906580129692039,12329.188905848521,3664.965496924949,31.28139550186591,0.10001248723557388,730.0974250339146,147.4686599381714,180325.4844419942,Theano,2016-01
Torque2D,0.10002102599207574,8266.715567801693,36497.099351165576,4970.003675491599,6940.352189514046,0.10002527389198447,20.946966503800713,86.34273819000522,185.2146199082428,596.1248451007266,Torque2D,2016-01
Torque3D,14.74084813279127,4247.520644451189,905640.4589794618,47511.677486604734,15263.288630854413,0.10002729610198521,0.10002851393766668,19.31216131029482,13876.584566854406,1255.2166260856422,Torque3D,2016-01
adarkroom,243.9819043895921,0.10002434355943397,4997.639578912788,11155.098369708568,520.7905884851352,6201.3156373321235,0.10002179322644981,0.10002039925011023,1741.3082440401236,1557.5656105702024,adarkroom,2016-01
arbor,2341.326029667173,0.10002845491475622,1758.6447438106318,335.6456408764024,0.11455766620254992,1120.0824106442892,216.0305471440331,0.10002178840450224,3434.855989950611,0.10002999172550649,arbor,2016-01
atom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,atom,2016-01
brackets,26.466659568059292,450.81547157002143,110.23540769506899,1517.2566386610183,17043.33908782037,1421.6738292022949,0.10003052922494002,13955.529608208913,679982.4832381192,0.10002831036640854,brackets,2016-01
brain,0.10002337339894939,0.1000195496719124,0.1000206867324655,0.10002782308171687,149.42265291049966,0.10002759501465631,24.241274997367253,0.10002211979553968,163.5480342550558,1062.1878966888428,brain,2016-01
caffe,23.72039344336307,677.0558441341803,0.10002789911053056,2501.8236833193214,0.10002500096541213,4012.198667455723,0.10001975188706867,0.10002825359071554,66.13907935560773,60386.66223136042,caffe,2016-01
cakephp,0.10002230728319068,0.10002728608814557,0.10002624193720042,0.10002813343787004,220765.8838128824,0.10002858222686858,0.10002962290448929,34264.729024430744,1070.686975772864,0.10002465589496655,cakephp,2016-01
cesium,0.1000278448068804,251.54141775225372,896.2633850606654,1571.7683255770282,958.8165801709758,651326.0399415009,318.10182808568476,1562.2853780112678,15956.623687121422,24.4594285965913,cesium,2016-01
chartist-js,13194.808433592747,0.10002449130094865,0.10002852242461885,38.10024881358708,0.10002872395411218,2533.403759087389,0.10004824825360661,274.78890822637385,1563.7222842851468,334.7762359982947,chartist,2016-01
chroma.js,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,chroma.js,2016-01
clumsy-bird,1744.9124675846472,156.19539052559227,4633.370404253937,0.10002600455728182,0.10001847893942468,2434.201891139396,140.16849189211362,0.10002207063951969,1093.7512597972159,0.1000282482041869,clumsy,2016-01
cocos2d-x,1342.7461656812363,856728.1036470771,83476.27327158027,0.10002450863985102,0.10002456750958141,14299.799763492452,6866.038728342483,0.10002663040809143,63.63832490697769,0.10002293219369093,cocos2d,2016-01
codebox,0.10002345290377321,128.90278852718257,0.10002679089192748,548.8865287489845,855.5462513299449,0.10002394183055506,0.10003253645865541,334.7338261783218,1847.3509518520518,173.1795466397322,codebox,2016-01
convnetjs,1788.2578527558064,0.10003442011402289,2.486757810631519,0.10002570416615016,0.10002569045672664,1648.9659008936776,0.10002670117649255,0.10002805810889298,6140.540209405493,3558.2491385535855,convnetjs,2016-01
d3,23458.68236958307,0.1000238908398563,0.10002315826950287,0.1000266554791643,2680.2808377691213,29553.111609995984,0.10001112962413139,0.10003014508082901,0.10002478239682075,129.3250428670226,d3,2016-01
datumbox-framework,5.17917054075089,0.10002360196920494,43.409990749728806,0.10002748605926541,471.53006857130396,0.10002740084153801,0.10018442149771371,23819.158623318526,0.10002864597451158,40681.22185522961,datumbox,2016-01
dc.js,74930.72243520792,186.0924135221172,32.187208036912196,0.10002777918904161,1878.22841256361,7254.353213326056,0.10002614831228016,305.76425992396173,483.38574381280387,6.066259640597238,dc.js,2016-01
derby,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,derby,2016-01
