index,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,project,date
clumsy-bird,987.9968393557998,0.02,0.02,0.02,742.825308049728,0.02,0.02,0.02,0.02,837.1344176681343,0.02,19.009564886882817,700.8611626608821,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1245.089306075536,0.02,0.02,0.02,201.2661193450758,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,144.6808507814071,0.02,35.316431174470594,0.02,0.02,0.02,0.02,0.02,0.02,clumsy,2016-01
cocos2d-x,0.02,0.02,0.02,0.02,0.02,34.987818469784195,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,638702.9972026531,24.728571472429348,0.02,2.2042532129452947,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,126.7018909601967,0.02,0.02,3.500262978400406,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,cocos2d,2016-01
codebox,0.02,76.74847989504755,0.02,0.02,465.4525012910157,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,177.18319394824218,0.02,0.02,0.02,0.02,0.02,0.02,389.3157541620447,0.02,0.02,0.02,77.89287434771299,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,430.36526391548955,0.02,0.02,0.02,0.02,0.02,139.80304478033761,0.02,0.02,0.02,0.02,3.3988876594372113,0.02,0.02,codebox,2016-01
convnetjs,0.02,0.02,0.02,0.02,829.2628946003608,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1744.624870225793,0.02,0.02,0.02,0.02,141.12712456652937,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1011.2707258500375,567.1532693599651,186.3227546497725,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,168.3638498705355,471.79802025253036,0.02,0.02,0.02,0.02,849.2564906214883,0.02,0.02,convnetjs,2016-01
d3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,22295.01999999478,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,d3,2016-01
datumbox-framework,0.02,29407.019999990964,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.020000000000000007,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,datumbox,2016-01
dc.js,0.02,0.02,39098.164034909634,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,285.1101787087033,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,142.78578636886832,0.02,0.02,0.02,0.02,0.02,0.02,dc.js,2016-01
derby,0.02,0.02,0.02,0.02,1592.451205093712,14.653397477819082,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,20.311505985599652,0.02,0.02,0.02,111.24017635918837,0.02,48.73570099244332,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,17.286186629920785,0.02,499.67458722741014,0.02,0.02,0.02,7.807240233080687,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,derby,2016-01
dimple,0.02,0.02,0.020000000059254886,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,123922.01999998688,0.02,0.02,0.02,0.02,0.02,0.02,dimple,2016-01
django,0.02,16.3366466103907,0.02,663.679634647952,0.02,0.02,0.02,0.02,0.02,205.83932825589434,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,137721.33845058558,0.02,0.02,0.02,0.02,0.02,66.23149650764532,335.0074104910471,0.02,0.02,0.02,159.4334690352354,0.02,308.53457719594076,0.02,0.02,2835.371109642393,0.02,0.02,34969.12634523364,0.02,0.02,0.02,62.3215317177454,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,django,2016-01
